"Young","Drink","Accident","Violation","Citation","Gear"
"Y1","D0","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G0"
"Y1","D0","A0","V0","C0","G0"
"Y1","D0","A0","V0","C0","G1"
"Y0","D1","A0","V1","C0","G0"
"Y0","D0","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y0","D1","A1","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D1","A0","V1","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A1","V1","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G0"
"Y0","D1","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G0"
"Y0","D1","A0","V0","C0","G1"
"Y1","D1","A1","V1","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G0"
"Y0","D0","A0","V0","C0","G0"
"Y1","D1","A0","V0","C0","G0"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A1","V0","C0","G1"
"Y0","D0","A0","V0","C0","G0"
"Y1","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G0"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D1","A1","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A1","V1","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G0"
"Y0","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A1","V1","C0","G1"
"Y1","D1","A0","V1","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D0","A0","V1","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G0"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D1","A0","V0","C1","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D1","A1","V0","C0","G0"
"Y0","D0","A0","V0","C0","G0"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G0"
"Y0","D0","A0","V0","C0","G0"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C1","G1"
"Y1","D1","A0","V1","C0","G1"
"Y0","D1","A1","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D0","A0","V1","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A1","V0","C0","G1"
"Y0","D0","A0","V0","C0","G0"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G0"
"Y1","D1","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G0"
"Y0","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D1","A1","V0","C0","G0"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C1","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A1","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D1","A0","V1","C0","G0"
"Y1","D0","A0","V0","C0","G1"
"Y1","D0","A0","V1","C0","G1"
"Y1","D1","A1","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G0"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A1","V0","C0","G1"
"Y1","D0","A0","V1","C0","G1"
"Y0","D1","A0","V0","C0","G0"
"Y1","D1","A0","V1","C0","G1"
"Y1","D1","A1","V0","C1","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G0"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A1","V0","C0","G1"
"Y1","D1","A1","V1","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D1","A0","V1","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G0"
"Y0","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A0","V1","C0","G0"
"Y0","D0","A0","V0","C0","G0"
"Y0","D0","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D0","A1","V0","C0","G0"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A0","V1","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D0","A0","V1","C0","G0"
"Y0","D1","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A1","V1","C0","G1"
"Y0","D0","A0","V0","C0","G0"
"Y1","D1","A0","V0","C0","G0"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A0","V1","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D1","A1","V0","C0","G0"
"Y0","D0","A0","V0","C0","G0"
"Y1","D0","A0","V0","C0","G1"
"Y1","D1","A0","V1","C0","G1"
"Y0","D1","A0","V0","C0","G0"
"Y0","D0","A0","V0","C0","G0"
"Y1","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D0","A0","V1","C0","G1"
"Y1","D1","A1","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A0","V1","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y0","D0","A1","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G0"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A1","V0","C0","G1"
"Y1","D1","A1","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D1","A0","V1","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D0","A1","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G0"
"Y1","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D0","A0","V1","C0","G1"
"Y1","D0","A1","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A0","V1","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G0"
"Y0","D1","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y1","D0","A1","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y1","D1","A0","V1","C0","G1"
"Y0","D1","A0","V0","C0","G0"
"Y1","D1","A1","V1","C0","G0"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A0","V1","C0","G0"
"Y1","D1","A0","V1","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A1","V1","C0","G1"
"Y1","D1","A0","V1","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G0"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G0"
"Y0","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D1","A0","V1","C1","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G0"
"Y0","D1","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G0"
"Y0","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A0","V1","C0","G0"
"Y1","D1","A1","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D1","A1","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G0"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A0","V1","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D0","A0","V1","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y1","D1","A0","V1","C0","G0"
"Y1","D1","A1","V0","C1","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A1","V0","C0","G1"
"Y1","D1","A1","V1","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D0","A0","V1","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A0","V1","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G0"
"Y0","D1","A1","V0","C0","G1"
"Y1","D1","A1","V0","C0","G1"
"Y1","D0","A0","V0","C0","G0"
"Y0","D0","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D0","A0","V1","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G0"
"Y1","D0","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G0"
"Y1","D0","A0","V0","C0","G1"
"Y1","D0","A1","V0","C0","G1"
"Y0","D0","A0","V0","C0","G0"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A1","V1","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A1","V0","C1","G0"
"Y1","D0","A1","V1","C0","G1"
"Y1","D1","A0","V0","C0","G0"
"Y1","D0","A0","V0","C1","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A1","V0","C1","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D0","A0","V0","C1","G1"
"Y1","D1","A1","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G0"
"Y1","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A0","V1","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G0"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G0"
"Y1","D0","A0","V0","C0","G1"
"Y1","D1","A1","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G0"
"Y1","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A1","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D1","A1","V0","C0","G0"
"Y1","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C1","G1"
"Y0","D0","A0","V0","C0","G0"
"Y0","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A0","V1","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y1","D1","A1","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y1","D1","A1","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G0"
"Y0","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G0"
"Y1","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G0"
"Y1","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G0"
"Y1","D1","A1","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G0"
"Y0","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D0","A0","V1","C0","G0"
"Y1","D1","A0","V0","C1","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G0"
"Y1","D1","A1","V0","C0","G0"
"Y0","D0","A0","V0","C0","G0"
"Y0","D0","A0","V0","C0","G0"
"Y0","D1","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A1","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y1","D1","A1","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G0"
"Y1","D1","A0","V0","C0","G1"
"Y1","D0","A0","V1","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G0"
"Y1","D1","A0","V0","C0","G0"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G0"
"Y1","D1","A1","V1","C0","G1"
"Y1","D0","A0","V1","C0","G1"
"Y0","D1","A1","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C1","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A1","V1","C1","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A1","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A0","V0","C1","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y0","D1","A1","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A1","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D1","A1","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A0","V1","C0","G1"
"Y0","D0","A0","V0","C0","G0"
"Y1","D1","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G0"
"Y1","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G0"
"Y1","D1","A0","V1","C0","G0"
"Y1","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A1","V0","C0","G1"
"Y1","D0","A0","V1","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D0","A1","V0","C0","G0"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D1","A0","V1","C0","G1"
"Y1","D0","A0","V0","C0","G0"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G0"
"Y1","D1","A0","V0","C1","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A1","V0","C0","G1"
"Y1","D1","A1","V0","C0","G0"
"Y1","D0","A0","V0","C0","G1"
"Y1","D0","A1","V1","C0","G1"
"Y1","D1","A1","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G0"
"Y1","D1","A0","V0","C0","G0"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A1","V0","C0","G0"
"Y1","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A1","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D1","A0","V0","C1","G1"
"Y1","D0","A0","V0","C0","G0"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G0"
"Y1","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D0","A1","V1","C0","G1"
"Y1","D1","A0","V1","C0","G0"
"Y0","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A0","V1","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G0"
"Y0","D0","A0","V0","C0","G0"
"Y0","D0","A0","V0","C0","G0"
"Y0","D1","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G0"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A1","V0","C0","G0"
"Y1","D0","A1","V0","C0","G0"
"Y0","D1","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y1","D1","A1","V0","C0","G1"
"Y1","D1","A0","V0","C0","G0"
"Y1","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y1","D1","A0","V1","C0","G0"
"Y0","D0","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G0"
"Y1","D1","A1","V1","C0","G0"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G0"
"Y1","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y0","D1","A0","V1","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A1","V0","C0","G1"
"Y1","D0","A0","V1","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D1","A1","V0","C0","G1"
"Y0","D0","A1","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D1","A1","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G0"
"Y1","D0","A0","V1","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G0"
"Y0","D0","A0","V0","C0","G0"
"Y0","D0","A0","V0","C0","G0"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A1","V1","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D1","A0","V1","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G0"
"Y1","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A1","V0","C1","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D0","A0","V1","C0","G1"
"Y1","D1","A0","V1","C0","G1"
"Y0","D0","A0","V0","C0","G0"
"Y0","D1","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G0"
"Y0","D0","A0","V0","C0","G0"
"Y1","D0","A0","V0","C0","G1"
"Y1","D0","A0","V0","C1","G0"
"Y1","D1","A1","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G0"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A0","V1","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G0"
"Y1","D0","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G1"
"Y1","D1","A0","V0","C0","G0"
"Y0","D0","A0","V0","C0","G0"
"Y0","D1","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D1","A0","V1","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y0","D1","A0","V0","C0","G1"
"Y1","D0","A0","V0","C0","G1"
"Y0","D0","A0","V0","C0","G1"
"Y1","D0","A0","V1","C0","G1"
"Y1","D1","A0","V0","C1","G1"
"Y0","D1","A0","V1","C0","G1"
"Y1","D1","A1","V0","C0","G1"
